Timestamp,Feedback/Experience on using/creating Cheatsheet for exams,What about it is/isn't working about the cheatsheet. Please be as specific as possible.,Possible Alternatives to current method of using cheatsheets
9/23/2024 11:58:54,2,"Unclear guidelines and non-sense updates
Unclear Intentions of physical cheatsheets ","Fully open book exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 11:58:56,1,,Fully open book exams - no more cheatsheets
9/23/2024 12:01:42,10,"things that are working: digitally writing cheat sheets, uploading at a deadline.
things not working: uploading AND handing in physical cheat sheets AT THE SAME TIME","Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 12:03:08,3,,"Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets"
9/23/2024 12:03:12,7,"It helped me during the quiz, but I still had some doubts. For example, why does it have to be single-sided and handwritten? For some courses, like 511, a single page cheatsheet is not enough. ","Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 12:04:16,2,"Writing cheatsheets for programming courses seems quite awkward... Even if we're writing them, why can't we choose either handwritten ones on either electronic or paper as long as they're one-page and letter sized? ","Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet, Cheatsheet template for electronic cheatsheets"
9/23/2024 12:04:30,7,Handwritten fromat,Ability to digitally type cheatsheets
9/23/2024 12:04:44,10,Very flexible. It's all good.,"Nah, I think it's fine."
9/23/2024 12:04:45,8,,Current system works
9/23/2024 12:05:54,3,"I feel like it would be better if we had access to making typed up cheatsheets, or even just access to our lecture notes instead. I think this would alleviate the stress we have. I feel it was a bit unfair that people didn't follow the instructions for cheatsheets and it was not penalized, and I feel like having the cheatsheets makes it more like, how much could you fit on your cheatsheet and if you remembered to fit everything we covered in class, whereas I feel if its open book, or even lecture notes accessible during class, it would make it a bit fair since it would be more representative of if you actually understand the material and what the question is asking for, and not just could you cram everything onto a 1pg cheat sheet. ","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets"
9/23/2024 12:07:22,1,"A Waste of time
1. Useless after the quizzes, I don't see anyone will use the cheatsheet rather than google/chatgpt.
2. I prefer spending the time for studying and understanding instead of copying.","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 12:07:23,5,"It's nice that we can have a cheatsheet, but looking at my cheatsheet and doing my exam on the same monitor is pretty hard. The latest policy requires me to hand in paper cheatsheet in person on holiday, which is super inconvient for me (about 3 hours round trip). And if the only form that can be used during the exam is a digital image, it contradicts the requirement to physically hand in the paper version.",Fully open book exams - no more cheatsheets
9/23/2024 12:08:32,5,"That quiz 2 does not allow for digitally written cheatsheets. While I understand that there had been size issues, there are many alternative ways to check that digital cheatsheets fulfill requirements than discarding this option entirely. Specifically, one can require that digital cheatsheets to be printed out on letter (must fit) and must be legible. Handwritten cheatsheets have way less flexibility with regards to planning how to write, make edits, and changing contents. ","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Digital written cheatsheets should be allowed"
9/23/2024 12:08:50,8,The rules for week 1 were reasonable. Please don’t make us commute on campus just to hand off the physical cheat sheet,
9/23/2024 12:09:40,2,"Need a lot of time to make cheatsheets where we basically just copy the lecture notes and add some stuff in. Yes, we can study while doing it, but I think it takes too much of our available time writing it.","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets"
9/23/2024 12:10:26,7,Cheatsheets in general is helpful for the learning process as well as for the exam. But the handwirtten policy seems unreasonable and is extremely time-consuming and hurts the learning curve. ,"Fully open book exams - no more cheatsheets, Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 12:10:30,1,,"Fully open book exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 12:11:05,1,it's extremely time consuming to write out cheatsheets. They are also essential since syntax is graded. It took away a lot of my study time and waste time on cheatsheets.,"Fully open book exams - no more cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 12:12:46,10,"Uploading is not working but carry a physical one would be better, it reduces confusion during exams when navigating through different  tabs, sometimes i kept closing tabs when moving to the cheat sheet tab  and it is time consuming getting everything set again, I would prefer a physical one ","Allow us to carry physical cheat sheets, also the writing of code isnt helping in exam is not helping ☹️"
9/23/2024 12:12:46,1,"Handwriting code is not realistic in a real world setting. 
Handwriting code for a cheatsheet isn’t helping student to learn. if learning is the goal here, this is basically creating unnecessary stress and toll preventing effective learning. We all join the program wanting to get something out from the program and these rules does not equip us to be real professionals ","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 12:13:41,7,,"Fully open book exams - no more cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 12:14:16,10,Time is realy limited and we can't even use the cheatsheet and search for what we need in it. ,Fully open book exams - no more cheatsheets
9/23/2024 12:15:42,1,,Fully open book exams - no more cheatsheets
9/23/2024 12:18:07,8,"It works to help and study for the quizzes it is almost pointless because there is barley orr 
not enough time on quizzes to review the cheatsheet ","Course notes only during exams - no more cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 12:18:27,6,,"Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 12:20:00,6,Having to have both a digital and a physical copy. Also to come in on a holiday specifically to turn in a cheat sheet ,"Fully open book exams - no more cheatsheets, Ability to digitally type cheatsheets, Digital or physical! Not both "
9/23/2024 12:20:36,3,"I find that creating a cheatsheet takes up too much time that could be better spent studying and understanding the material. In a real work environment, we typically don’t rely on cheatsheets, as we have access to resources and can refer to documentation or tools as needed. Focusing on critical thinking and applying knowledge seems more practical than spending time condensing everything into a cheatsheet for exams","Fully open book exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 12:21:04,4,"Challenging to submit all of them long before the exam, it would be nice to bringthe physical copy to the exam","Fully open book exams - no more cheatsheets, allowing digital and just checking before the exam starts"
9/23/2024 12:24:47,4,Unreasonable due date for cheatsheets and they take a long time,"Ability to digitally type cheatsheets, Only handwritten or digitally written printed out. Have the quizzes at the same time for everyone and at the start of the quiz, our physical "
9/23/2024 12:28:55,1,,Fully open book exams - no more cheatsheets
9/23/2024 12:29:45,6,It would be ideal to have the paper copy with me during the quiz. But I'm not too pressed about it.,Ability to digitally type cheatsheets
9/23/2024 12:29:47,8,"As long as I don’t have to come to campus on days there’s no classes, everything else seems reasonable. ",Each course should provide a standardized cheatsheet
9/23/2024 12:35:31,6,,"Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets"
9/23/2024 12:36:21,9,,"Ability to digitally type cheatsheets, allow cheatsheet of digital handwriting"
9/23/2024 12:43:48,5,"The problem is it is an assignment in itself. Which is time consuming along with other asignments.

The best appproach would be to allow the course web github pages.","Course notes only during exams - no more cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 12:49:58,4,Handwritting cheatsheet is very time consuming ,"Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 12:56:49,6,It helps me study but takes too much time,"Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 13:19:43,1,"Using handwriting for cheatsheets is really time-consuming. I can use the time for arranging my cheatsheets to review the lectures twice. Especially when we put it in reality as data scientists, we don’t need handwriting to search for the methods we’re gonna use. Also using handwriting could be risky for typos and misspelling formulas.
Besides, there is a requirement for the quality of PDF and is kind of blurry when you read it on the screen.","Fully open book exams - no more cheatsheets, Ability to digitally type cheatsheets"
