Timestamp,What sports would like you like me to plan in the upcoming weeks? ,How often would you like the sports events to happen? ,Which of the following events would you be most interested in attending? (Select al that apply),How frequenent would you like to have a social event?,Would you be interested in participating in study groups outside of class?,"Q1: How satisfied are you with the structure of the program? (potential areas to think about: course logistics, grading system, division into sections, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE COURSE (that's for another section)","If you have anything to share for Q1, please use the space below to share your feedback","Q2. How satisfied are you with the assessment structure of the program? (potential areas to think about: cheatsheets, exam dates and availabilities, labs and worksheets, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE EXAM (that's for another section)","If you have anything to share for Q2, please use the space below to share your feedback","Q3. How satisfied are you with the Instructors and Instruction Quality of the program? (potential areas to think about: lecture pace, areas of excellence, areas of improvement, etc.)","If you have anything to share for Q3, please use the space below to share your feedback","Q4. How satisfied are you with the Communication Method/Effectiveness of the program? (potential areas to think about: using Slack, using course-specific websites, etc.)","If you have anything to share for Q4, please use the space below to share your feedback","Q5. How challenging has the program been thus far? (potential areas to think about: the difficulty of lectures, the difficulty of the labs/worksheets, the difficulty of the exams, etc.)","If you have anything to share for Q5, please use the space below to share your feedback","Q6. How has balancing the course workload been so far? (potential areas to think about: lectures, pre-lecture workload, labs, worksheets, etc.)","If you have anything to share for Q6, please use the space below to share your feedback",What are some things that's working well for you regarding the academic-portion of this program (i.e. positive remarks),What are some things that's absolutely NOT working well for you regarding the academic-portion of this program (i.e. negative remarks),"If you have anything else to share with the instructors and program facilitators, leave your comment/feedback here! ",Column 21,How stressful did you find the block 2?,"Have you had a chance to try any of the resources? If so, I’d love to hear your feedback!",How can we help you?,Have you attended any career-related events or workshops so far?,"If so, could you share your experience and feedback?"
10/15/2024 19:14:02,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2024 11:05:15,,Weekly,"Movie screening, Bowling, Trivia Night, Karaoke Night, Restaurant or coffee shop meetups",Weekly,"Maybe, depending on the material",Dissatisfied,"In week 3, difficult to manage quiz 1 preparation and submitting homeworks",Very dissatisfied,,Neutral,Instructors of 512 and 571 are boring and difficult to listen,Satisfied,,Very Challenging,To much material for provided time,Extremely difficult to manage,,,"Not providing grades at normal time, need to wait a lot.",,Option 1,10,No,,Yes,No relevant job opportunities for data scientists
10/16/2024 11:13:44," Badminton, maybe?",Biweekly,"Movie screening, Bowling, Happy hour",Biweekly,"Yes, definitely",Very satisfied,,Very satisfied,,Very satisfied,,Very satisfied,,Moderately Challenging,,Mostly Manageable,,All good,All good,,,3,Didn't try,,No,
10/16/2024 11:22:52,not a sports person,,"Trivia Night, Restaurant or coffee shop meetups",Biweekly,"Maybe, depending on the material",Dissatisfied,"when things change, i would heavily prefer that we are notified in some way (ie, room changes for thanksgiving week, lab section/schedule changes at the start of the block) - via email or Slack, as long as the message mentions the change",Satisfied,,Very satisfied,,Very dissatisfied,see: answer for structure portion,Very Challenging,,Frequently Overwhelming,"i feel that the instructors acknowledge that w3 is challenging due to the quizzes and lighten the workload accordingly, but absolutely do not do that for w2 (when we're making cheatsheets, studying, etc) - if i had to pick a week to be ""easier"" due to the quizzes, i would pick w2",,,,,7,no,,No,
10/16/2024 11:35:28,BASKETBALL,Biweekly,"Trivia Night, Karaoke Night, Happy hour",Biweekly,"Maybe, depending on the material",Dissatisfied,Quiz review sessions are broken. It should be done remotely.,Neutral,,Satisfied,,Neutral,,Very Challenging,,Frequently Overwhelming,,,,,,7,Nah,,No,
10/16/2024 11:36:04,Outdoor games in Sunny days,Biweekly,"Bowling, Happy hour",Biweekly,"Maybe, depending on the material",Satisfied,,Satisfied,,Neutral,I prefer interactive teaching style rather than going through the codes quietly. ,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,,,5,-,,No,
10/16/2024 11:37:09,basketball,Biweekly,Bowling,Biweekly,"Maybe, depending on the material",Neutral,,Neutral,,Satisfied,,Neutral,,Moderately Challenging,,Mostly Manageable,,,,,,3,na,,Yes,
10/16/2024 11:37:17,Yoga,Biweekly,"Movie screening, Trivia Night, Karaoke Night",Biweekly,"Maybe, depending on the material",Neutral,,Neutral,,Satisfied,,Satisfied,,Very Challenging,,Sometimes Overwhelming,,Attending labs,Lectures (esp 512),,,7,No,,Yes,
10/16/2024 11:37:20,Ping Pong,Biweekly,"Bowling, Trivia Night, Happy hour, Restaurant or coffee shop meetups",Biweekly,"Yes, definitely",Neutral,,Neutral,,Neutral,,Neutral,,Slightly Challenging,,Frequently Overwhelming,,,,,,8,Not yet ,,No,
10/16/2024 11:37:32,Soccer,Biweekly,"Karaoke Night, Happy hour",Once per block,"Maybe, depending on the material",Neutral,,Dissatisfied,The assessments could be more organized and with more time. ,Neutral,,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,The lab coordination and help ,Balancing the timing of assignments and classes. ,,,5,Yes. I have tried group study. ,,Yes,It was more of getting familiar
