Timestamp,What sports would like you like me to plan in the upcoming weeks? ,What is your skiing level? (only answer the following if you are interested in going skiing) ,"How much are you willing to spend in total? (Rentals, tickets, transportation etc...)",Where would you rather go? ,What social events would you like to be plan in the upcoming weeks? ,"If you have not attented a social event yet, why do you think that is? ","Q1: How satisfied are you with the structure of the program? (potential areas to think about: course logistics, grading system, division into sections, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE COURSE (that's for another section)","If you have anything to share for Q1, please use the space below to share your feedback","Q2. How satisfied are you with the assessment structure of the program? (potential areas to think about: cheatsheets, exam dates and availabilities, labs and worksheets, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE EXAM (that's for another section)","If you have anything to share for Q2, please use the space below to share your feedback","Q3. In general, how satisfied are you with the Instructors and Instruction Quality of the program? (potential areas to think about: lecture pace, areas of excellence, areas of improvement, etc.)","Q4. How satisfied are you with the Communication Method/Effectiveness of the program? (potential areas to think about: using Slack, using course-specific websites, etc.)","If you have anything to share for Q4, please use the space below to share your feedback","Q5. How challenging has the program been thus far? (potential areas to think about: the difficulty of lectures, the difficulty of the labs/worksheets, the difficulty of the exams, etc.)","If you have anything to share for Q5, please use the space below to share your feedback","Q6. How has balancing the course workload been so far? (potential areas to think about: lectures, pre-lecture workload, labs, worksheets, etc.)","If you have anything to share for Q6, please use the space below to share your feedback","If you have anything else to share with the instructors and program facilitators, leave your comment/feedback here! ","DSCI 513 - Database (Gittu - Lectures)
In one or two sentences, constructively, what's working well in the course? ","DSCI 513 - Database (Gittu - Lectures)
In one or two sentences, constructively, what could be improved about this course?","DSCI 513 - Database (Andy - Labs)
In one or two sentences, constructively, what's working well in the course? ","DSCI 513 - Database (Andy - Labs)
In one or two sentences, constructively, what could be improved about this course?","DSCI 522 - Data Science Workflows (Daniel)
In one or two sentences, constructively, what's working well in the course? ","DSCI 522 - Data Science Workflows (Daniel)
In one or two sentences, constructively, what could be improved about this course?","DSCI 561 - Regression (Payman)
In one or two sentences, constructively, what's working well in the course? ","DSCI 561 - Regression (Payman)
In one or two sentences, constructively, what could be improved about this course?","DSCI 573 - Feature & Model Selection (Joel)
In one or two sentences, constructively, what's working well in the course? ","DSCI 573 - Feature & Model Selection (Joel)
In one or two sentences, constructively, what could be improved about this course?",How stressful do you find the block 3?,What is the biggest challenge affecting your mental health this block? ,What additional mental health resources or services would you like to see provided?,"How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Resume/CV Workshops]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Mock Interviews]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Industry Networking Events]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Job Search Strategies]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Technical Skill Development]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Soft Skills Development]","If you had a one-on-one session with our MDS Career Advisor, please share your feedback.",How would you rate the workshop overall?,How relevant was the content  to you?,What was the most valuable insight or learning you gained from the workshop?,What topics or issues would you like to see covered in future workshops?
11/25/2024 12:01:12,,Average,$200-300,Grouse,,,Very satisfied,,Very satisfied,,Very satisfied,Very satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,,,,good prof,,good prof,,,,5,None,n/a,2,5,4,4,4,2,Angela was really helpful!,3,3,,
11/25/2024 12:07:27,indoor games - volleyball / pool / bowling,Never skied,,Whistler,,,Satisfied,,Neutral,,Satisfied,Satisfied,,Extremely Challenging,,Extremely difficult to manage,,,,,,,,,,,,,6,Academic pressure,social events,5,5,5,5,5,4,Not had yet,5,5,,
11/25/2024 12:20:12,badminton ,Average,,,,,Neutral,,Very dissatisfied,I feel like all our courses should be project based,Satisfied,Neutral,,Extremely Challenging,,Frequently Overwhelming,,,,,,,,,,,,"This course is really dense, not having personal cheat sheets may not be effective (tbd after we see the course cheat sheet)",7,Academic pressure,N/A,4,4,4,5,5,5,It was great! ,5,5,,
11/25/2024 13:00:44,Karting! Ski trips!,Average,$150,Grouse,,"Too overwhelmed by academic workload, Timing conflict with other commitments, Transportation or accessibility issues",Satisfied,,Satisfied,,Satisfied,Satisfied,,Moderately Challenging,,Frequently Overwhelming,,,,,,,,,,,,,8,"Academic pressure, Personal issues",are there workshop/sessions with dogs etc?,4,4,4,1,3,3,Na,3,3,,
11/25/2024 22:20:09,,Never skied,100,Whistler,,Timing conflict with other commitments,Satisfied,,Neutral,,Satisfied,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,,,,,,,,,,4,Personal issues,,5,5,4,5,5,5,I found her guidance extremely helpful :),4,3,,
11/25/2024 23:38:32,,Advanced,200,Grouse,,,Very satisfied,,Neutral,Cheat sheets for 573,Very satisfied,Very satisfied,,Moderately Challenging,,Mostly Manageable,,,,,,,,,,,,,4,None,,3,3,4,4,4,3,N/a,5,4,,
11/26/2024 10:14:31,,Advanced,250,cypress,christmas potluck?,Timing conflict with other commitments,Satisfied,,Satisfied,,Satisfied,Satisfied,,Moderately Challenging,,Mostly Manageable,,,extra practice on PL for SQL queries,,,,The milestones description is clear,would be usedul if the demos in class could be more or less simulating the project requiements so that there's a better context to the learning of the new systems (eg Docker),the leacture notes are well written,We often run out of time before all of lecture notes get covered,the lectures are engaging,,4,job search pressure,,2,5,5,2,2,1,n/a,3,3,,
11/26/2024 10:44:38,ice skating,Never skied,50,,no idea,Too overwhelmed by academic workload,Neutral,,Neutral,,Neutral,Neutral,,Moderately Challenging,,Frequently Overwhelming,,,,,,,,,,,,,5,Lack of sleep,,5,5,5,5,5,5,none,5,5,,
11/26/2024 10:47:41,running,Never skied,20,Grouse,no,Too overwhelmed by academic workload,Dissatisfied,the explaination is not clear in class,Dissatisfied,The quiz part is too big,Neutral,Neutral,,Very Challenging,,Frequently Overwhelming,,,,,,,,,,,,,7,Academic pressure,,2,2,3,3,3,3,no,3,3,,
11/26/2024 10:48:27,Soccer,Never skied,Not much,Somewhere nearer,,"Too overwhelmed by academic workload, Transportation or accessibility issues",Satisfied,,Satisfied,,Very satisfied,Very satisfied,,Very Challenging,,Frequently Overwhelming,,,,,,,,,,,,,8,"Academic pressure, Lack of sleep",Smaller Assignments will suffice,5,5,5,5,5,5,Our MDS CL career advisor is really experienced in the domain and has guided me to the best of ability,5,5,,
11/26/2024 10:49:38,badminton,,,,have a dinner,"Too overwhelmed by academic workload, Timing conflict with other commitments",Satisfied,,Satisfied,,Satisfied,Very satisfied,,Extremely Challenging,,Frequently Overwhelming,,Sometimes the assignment is too long.,,,,,,,,,,Can we have shorter assignments? ,7,Academic pressure,,2,2,4,4,4,4,I didn't have any one-on-one session.,5,3,,
