Timestamp,"Q1: How satisfied are you with the structure of the program? (potential areas to think about: course logistics, grading system, division into sections, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE COURSE (that's for another section)","If you have anything to share for Q1, please use the space below to share your feedback","Q2. How satisfied are you with the assessment structure of the program? (potential areas to think about: cheatsheets, exam dates and availabilities, labs and worksheets, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE EXAM (that's for another section)","If you have anything to share for Q2, please use the space below to share your feedback","Q3. How satisfied are you with the Instructors and Instruction Quality of the program? (potential areas to think about: lecture pace, areas of excellence, areas of improvement, etc.)","If you have anything to share for Q3, please use the space below to share your feedback","Q4. How satisfied are you with the Communication Method/Effectiveness of the program? (potential areas to think about: using Slack, using course-specific websites, etc.)","If you have anything to share for Q4, please use the space below to share your feedback","Q5. How challenging has the program been thus far? (potential areas to think about: the difficulty of lectures, the difficulty of the labs/worksheets, the difficulty of the exams, etc.)","If you have anything to share for Q5, please use the space below to share your feedback","Q6. How has balancing the course workload been so far? (potential areas to think about: lectures, pre-lecture workload, labs, worksheets, etc.)","If you have anything to share for Q6, please use the space below to share your feedback",What are some things that's working well for you regarding the academic-portion of this program (i.e. positive remarks),What are some things that's absolutely NOT working well for you regarding the academic-portion of this program (i.e. negative remarks),"If you have anything else to share with the instructors and program facilitators, leave your comment/feedback here! "
9/21/2024 16:49:35,Neutral,"I'm not a fan of the flipped classroom concept. I believe that learning should happen more in the classroom rather than at home. Watching lecture videos before class isn't very helpful for me. Additionally, it adds more time to our already hectic schedule on top of all the labs and worksheets we already have.",Very satisfied,,Very satisfied,,Very satisfied,,Moderately Challenging,,Mostly Manageable,,Everything is going great other than the flip classes.,I am not able to watch the recorded lectures at home. I want to learn in class.,
9/21/2024 17:00:18,Dissatisfied,,Dissatisfied,,Neutral,,Neutral,,Extremely Challenging,,Extremely difficult to manage,,,,
9/21/2024 17:07:21,Neutral,"Week 3 is quite intense. I'm okay the whole structure except week 3 - having quizzes, lectures and labs",Neutral,"For the quiz assessment structure, I don't like auto graded system. I understand it'll be time consuming if all are not auto graded. 

But, it's highly chances of fail the whole answers if we missed out something. 

3 points will affect a lot for the grades if you are trying to pass the exam. ",Neutral,"For 521, Andy is too fast and sometimes, I don't know his intention - what he is explaining. But it's good when he updates the whole scripts in slack at the end of the class. 

For 523, I like Gittu teaching style. We need to learn videos in advance, then discussed with him at class and it's effective for me. Tiffany videos for R is really effective. 

I hope it'll be better if we have the lecture videos for the other lectures as well. If we missed out the concepts at class, we can always watch the videos. ",Satisfied,,Very Challenging,,Frequently Overwhelming,"I feel burn out already for the upcoming two weeks. I can't focus on the lectures on week 3 while having quizzes. When I work on labs after quizzes, I don't know what's going on and stuck a lot. ",,"I'm not sure how shuffle the quiz questions are. Some got easy problems and others got hard ones. Quizzes shouldn't depend on luck. I prefer to have all the quizzes are happening at the same time instead of flexible schedules. 

For the room space, seats in AERL room is small and the room doesn't have chargers as well. When laptops are running out of battery, it's so difficult.",
9/21/2024 18:05:19,Dissatisfied,I think the fast paced is not ideal for people who don’t have a cs or tech background.   Some of tbe concepts require lots of time to practice and understand.   ,Dissatisfied,The assessments should be one assessment at the end of the block to allow for students to prepare properly.   ,Neutral,Instructors can rush through materials but emphasize on major topics.  ,Neutral,Communication through email is great.,Extremely Challenging,I dont have technical background and i find myself always studying.  No time for anything else.  ,Frequently Overwhelming,The labs should be less challenging and more of practice.    ,Class  and lab structure ,Not understanding some concepts very fast has been frustrating ,
9/21/2024 18:44:01,,,,,,,,,,,,,,,
9/21/2024 20:51:06,Satisfied,,Satisfied,,Satisfied,,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,
9/21/2024 21:42:56,Dissatisfied,"The introductory nature of the subjects feels appropriate and the content from lecture has been great. However, it is all too rushed in a way that the program gives no time to have all the information sink in (much less do so in a healthy schedule). However, the most questionable part about the program structure are the scheduled lab sessions. They feel completely disjointed from the structure of the program as it is unclear how to make the most of 1.5 hours of lab, when I've only had the class a few hours before, haven't even read the material, much less understand it, in a way where I can ask productive questions that can help me. They would feel much more useful if the lab sessions and lab assignments were staggered by a week once all related questions have taken place and some time to work on the assignment is available.",Dissatisfied,"A fifty minute window for quizzes is too short, particularly in subjects were coding is involved. The time allocation feels without purpose. I am not being taught how to program fast, I am being taught how to program well. I think I would have done much better in quizzes if I had been given more time to think about the questions for more that a few minutes each.",Neutral,"It is very often that the rushed nature of the program leaves the instructors running through the material just to cover the expected scope, leaving little to no chance to have a productive lecture without feeling bombarded. 

It is very clear that while every instructor is incredibly knowledgeable, experience makes a big difference. While 511 and 551 are very structured and clean, 521 is always incredibly confusing and messy, and it is very much related to the instructor's ability communicate clearly. ",Neutral,"Part of the orientation's time should have been allocated to guide us through where to find all our lecture notes, repositories, as well as walk us through canvas, slack, gradescope. It was all dumped on us to figure out on our own.",Moderately Challenging,,Extremely difficult to manage,"Both of this questions go hand in hand, because while the subjects have not been super difficult, the amount of work that needs to be done puts the student in a position where lack of appropriate rest, spare time, exercise, mental health diminishes the possibilities of thriving though the program. Very often I question my choice of program, because of how rushed and overloaded it is, no matter how much I like what I'm learning.","pre-lectures, worksheets, lab materials","Workload, lack of rest, rushed lectures, lab sessions, 521 instruction.","While it makes sense to have divided the cohort into two to allow more contact with the staff, the isolation between groups makes no sense, but the way the two sections are completely divided across all fields, feels like a wasted opportunity to network and meet more people."
9/21/2024 21:58:28,Satisfied,"Pretty good grading system and course logistics. 

One thing is perhaps more scrutiny should be placed on grammatical errors - there's quite a few on worksheets and labs, as well as errors in the questions themselves. If we're to be graded on the correct grammar of our answers, the questions ought to be held to a similar professional standard.",Neutral,"I might actually prefer no cheatsheet, since I feel a bit pressured (that's self-inflicted) to cram everything into a cheatsheet. Either no cheatsheet or open book, but I understand if open book isn't possible. Perhaps put it up to a class vote?",Satisfied,"Perhaps the reverse lecture (523 - R Programming) could be improved - right now I feel like we don't go over that many more iclicker questions than compared to another class, there's simply more time added before answers are revealed. I would much prefer the regular class structure in the future.",Very satisfied,Really quick turnaround for instructor responses to slack messages!,Moderately Challenging,Good balance so far.,Mostly Manageable,Pretty manageable,"Good teacher instruction, TA instruction","It's not super professional seeing the frequent spelling errors and question mistakes in the worksheets and labs, maybe just read it couple times over before sending them out?","Good work! It's obvious all the professors and TAs care a lot about the students and this program, and it shows :)"
9/22/2024 0:41:04,Satisfied,,Satisfied,,Neutral,,Neutral,,Moderately Challenging,Hope there is a lecture recording of the class so that I can review the course or check what I didn't catch with at the time.,Extremely difficult to manage,,Lecture notes.,There's no lecture recording.,
9/22/2024 0:44:42,Very dissatisfied,Too many assignments. Don't have time to prepare for quizzes. Some people choose not to attend lectures to prepare. Learning R and Python in the same block makes people confused. ,Very satisfied,Writing cheatsheets by hand costs way too much time. Time is not enough to finish. Contents of labs are out of lectures. Many mistakes in the labs. ,Dissatisfied,"Instructors don't have enough experiences on teaching, since they are postdocs. For 523, the instructor doesn't teach anything, just asking students to watch videos to learn by themselves. ",Dissatisfied,Slack is not a good way to send anouncement. Many important messages can easily be dismissed since there are many meaningless content. Emails are better. ,Extremely Challenging,Workload is irrational. It is not because of the difficulty. Students don't have time for thinking. They are just being tired of finishing assignments and passing quizzes. ,Frequently Overwhelming,The labs are too time-consuming. ,NA,All,
